 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73	Mean74	Mean75	Mean76	Mean77	Mean78	Mean79	Mean80	Mean81	Mean82	Mean83	Mean84	Mean85
277	597.299	519.299	380.119	792.328	518.429	595.219	494.810	511.223	480.042	472.142	630.630	407.038	605.862	420.518	656.989	475.174	749.146	782.290	631.820	546.774	677.444	671.992	704.264	677.856	692.682	561.789	581.433	594.393	592.783	486.357	771.237	957.427	1451.671	585.280	615.991	685.347	573.858	500.053	537.964	567.408	482.164	923.616	844.082	558.602	772.603	655.271	507.070	688.073	673.809	610.509	709.515	648.742	529.821	424.113	768.693	762.296	559.578	850.695	2410.057	534.550	2186.324	482.060	775.030	595.038	1461.415	714.570	842.303	911.404	1155.112	1099.416	584.714	1530.141	306.180	343.759	371.988	494.054	460.149	809.263	616.881	556.466	497.916	618.056	732.388	750.566	521.435
278	577.753	501.524	386.369	735.954	517.988	537.966	581.712	499.417	510.353	494.385	608.416	429.794	715.494	409.006	686.296	481.055	825.572	762.557	568.028	553.771	687.182	664.555	682.217	567.676	681.428	545.463	650.788	610.786	600.959	502.122	746.185	920.027	1508.161	545.907	654.340	741.409	596.970	548.591	528.305	531.412	500.101	788.661	770.679	638.020	719.698	633.118	464.675	616.320	664.808	676.628	690.701	636.128	476.464	406.926	749.920	718.400	590.249	824.182	2397.327	547.787	2031.133	520.907	773.050	626.625	1521.432	654.220	969.305	893.760	1284.201	1243.000	701.192	1553.048	312.731	369.492	385.551	512.375	498.441	808.282	590.565	702.972	476.200	529.087	723.907	856.050	525.222
279	561.248	509.802	430.563	845.669	459.350	541.849	477.029	507.382	517.550	514.920	591.840	408.684	677.856	443.298	588.312	477.220	722.733	714.054	552.546	565.860	731.392	752.756	704.773	540.421	699.592	527.113	599.655	552.908	535.906	559.584	789.023	948.028	1415.247	509.778	625.739	709.694	554.975	515.442	451.868	551.918	577.023	791.817	783.421	577.162	736.522	671.494	502.179	597.679	751.042	687.203	762.729	594.265	515.683	414.495	802.426	792.516	520.486	876.546	2267.892	541.436	2065.371	507.243	852.177	564.952	1345.071	666.703	707.686	910.495	1194.912	1164.693	640.831	1573.408	311.339	391.271	383.877	514.612	469.568	735.079	571.248	701.961	450.113	589.479	679.016	905.172	509.558
280	538.925	512.624	378.467	756.725	472.459	519.849	525.206	531.485	536.505	466.678	570.837	430.656	666.916	408.073	650.618	458.955	823.789	725.040	568.957	503.649	660.960	698.866	664.415	607.975	745.952	568.009	580.439	650.442	577.884	508.906	795.630	879.054	1482.990	501.490	624.336	677.066	527.250	589.107	509.081	526.758	572.789	813.017	875.614	588.156	817.829	698.548	456.014	654.893	738.335	617.068	748.493	552.203	578.537	469.171	754.005	757.528	612.273	877.596	2511.061	581.397	2133.840	492.978	728.193	569.115	1371.286	673.153	848.830	936.032	1212.601	1110.594	665.208	1606.476	293.620	362.789	327.921	501.821	489.033	727.011	619.996	581.374	464.494	681.086	757.525	835.012	562.141
281	525.650	472.413	408.706	713.544	488.317	531.759	544.804	513.091	510.193	493.096	618.745	426.853	662.647	424.076	772.358	501.664	791.929	851.230	601.327	555.766	761.747	740.642	657.205	673.474	692.985	564.618	558.352	543.393	561.930	503.938	716.310	954.863	1360.909	499.768	679.742	706.529	649.912	547.646	451.880	567.307	493.147	826.166	841.571	645.482	793.951	605.361	493.122	605.377	679.111	550.220	712.781	680.523	480.515	425.889	748.279	712.328	574.235	795.477	2447.388	511.040	2120.912	481.332	743.167	589.676	1454.959	689.316	787.257	877.691	1122.000	1168.877	670.683	1572.423	329.422	373.818	394.700	501.535	465.549	756.637	528.017	656.231	499.658	571.138	779.544	832.654	571.310
282	566.153	555.767	436.080	736.875	505.097	567.849	520.992	518.049	516.192	531.641	676.266	401.764	616.806	447.069	545.790	501.262	616.236	750.198	576.102	560.211	747.579	755.044	653.538	572.614	750.094	580.977	612.588	606.279	540.104	500.577	801.723	851.182	1331.412	531.454	653.676	651.317	577.187	505.533	502.219	554.691	623.209	995.779	696.484	580.302	795.362	649.278	505.813	656.167	693.835	574.407	686.466	616.414	525.549	444.289	761.030	712.342	541.120	945.551	2210.904	518.918	2070.604	423.367	773.866	514.040	1537.820	762.825	892.333	845.127	1188.562	1086.430	725.550	1538.467	304.578	349.190	363.065	465.985	476.792	801.457	584.650	746.990	535.588	587.166	662.306	801.717	567.432
283	514.557	539.587	409.933	801.184	460.698	559.539	515.484	479.173	545.794	534.080	642.959	387.206	675.810	442.891	529.914	475.620	666.806	794.643	546.663	576.542	634.344	688.476	665.373	687.027	681.331	580.253	679.052	591.716	566.053	446.653	800.503	937.790	1382.275	532.581	644.233	661.757	564.505	590.128	480.364	530.488	586.650	917.394	844.625	557.502	825.457	579.025	442.272	672.047	704.101	626.768	664.386	634.272	445.596	424.470	711.137	731.681	546.997	813.223	2258.368	564.567	2077.836	460.961	728.097	571.033	1570.837	746.896	952.433	874.456	1242.993	1145.025	691.256	1511.940	302.293	320.300	368.247	501.215	482.225	782.160	632.027	676.999	412.623	664.068	663.719	851.586	556.026
284	557.815	509.302	426.862	713.393	531.722	581.656	532.553	489.293	478.352	444.198	639.794	387.433	577.931	398.934	711.900	452.535	795.296	730.518	574.825	557.817	675.630	711.547	753.345	645.965	739.597	578.465	586.895	605.477	529.568	515.175	728.410	910.534	1328.552	462.822	651.189	729.264	553.990	522.211	518.880	523.296	502.366	807.886	751.152	624.802	854.681	672.551	463.423	541.455	706.413	572.706	767.362	664.310	535.861	467.488	769.513	731.883	550.697	899.281	2284.475	509.314	2046.780	469.066	755.578	583.401	1316.820	655.918	824.323	768.114	1168.812	1220.693	584.861	1481.019	314.298	358.998	372.143	501.093	505.941	749.094	550.398	670.441	438.142	548.124	678.254	816.697	485.637
285	581.035	558.810	379.819	825.019	485.107	506.587	659.516	503.477	468.243	459.497	634.815	421.134	664.487	387.700	659.704	486.558	815.887	840.231	620.336	545.783	715.965	749.545	637.735	683.928	691.349	552.531	600.862	557.531	590.645	497.608	731.865	947.575	1332.989	521.318	632.280	684.672	514.955	518.628	506.336	521.792	477.692	920.907	765.910	588.736	727.903	611.411	525.576	648.101	735.575	629.053	686.649	712.074	544.514	524.711	761.167	771.856	580.976	799.801	2426.940	504.550	2060.145	452.525	730.375	568.845	1503.949	741.438	850.862	794.214	1171.175	1217.062	664.372	1486.189	311.994	361.067	367.956	473.718	517.282	736.709	581.252	644.373	428.584	563.921	763.738	800.726	542.544
286	562.154	507.098	403.293	781.867	496.975	522.050	553.127	494.649	496.839	466.600	676.373	438.889	597.413	475.881	716.228	481.754	806.712	834.699	619.879	525.940	765.587	630.974	702.009	624.887	697.130	496.643	641.811	564.211	586.039	519.509	770.412	954.787	1112.380	532.506	605.120	711.716	584.443	572.214	505.108	518.478	502.855	875.761	856.842	567.274	782.035	618.693	471.216	654.518	699.822	573.918	632.307	604.364	504.515	515.593	750.391	719.449	490.984	886.713	2364.168	503.627	2026.370	545.241	730.576	551.253	1484.211	732.821	804.482	829.421	1233.911	1190.340	556.311	1613.344	290.443	350.818	370.930	509.264	454.208	712.575	591.136	637.672	421.813	572.105	650.735	770.427	537.925
